name,salary,experience,views,applications,description
Senior Python Developer$3000-5000,$3000-5000,3,24,11,"We are looking for a Senior Python developer for remote work in our worldwide team. We need someone who wants to take part in something big and assume responsibility for the success of a new and innovative e-commerce project.The right candidate will be someone with an open mind who loves to solve problems and who strives to take their projects to the next level.Job Type: Remote, full-time- You will be working on the company's key product:Maintain and extend Flask back-end serviceImplement internal and external API integrationsPromote the best coding practices and standards, design best-in-class solutions- Main hard skills requirements for candidates:Strong background with Python 4+ years.Experience creating API with Flask and Flask Restplus.Experience with the following frameworks: SQLAlchemy, Celery, Marshmallow, and Pydantic.Strong background working with MySQL and MongoDB Databases.Experience with Kubernetes and Docker.Experience with FastAPI would be a plus.Experience with Clean Architecture would be a plus.- Main soft skills requirements for candidates:Strong desire and a proactive attitude to work.English - at least Intermediate level.Strong problem-solving abilities.Flexibility and team player."
Senior Python Backend Engineer,,5,28,5,"What are we doing?Develux is an IT consulting and software development company with products for the US market and outsourcing services worldwide. The company has been on the market since 2014 and has achieved perfect results in our four business units. We have 350+ goal-oriented, passionate specialists who are open to new challenges.How old is the project? What stage is it at?We are in the ed-tech space helping hundreds of thousands of students deal with academic hurdles and questions. We have been around since 2014, overgrowing every year. Furthermore, we are currently working on expanding the functionality of our product, all while focusing on improving customer experience and increasing our financial metrics.Our company is a B2B2C educational platform that provides academic paper writing services. Our clients can choose the type of work, set requirements and deadlines, and choose the author. In addition, online chat allows customers and authors to communicate with each other to clarify.We also provide services for checking papers for plagiarism, editing and correcting text, and training and advice on improving research paper writing skills. Our team of writers consists of only the best experts, who are rigorously screened and constantly improve their skills.Our platform also provides the opportunity to receive feedback from authors and ask for technical support and help in choosing the best work.We constantly improve our platform and services to provide our customers with the highest convenience and quality.Our support team is always available to help customers with any questions regarding our platform. We strive to ensure that our clients have only a positive experience with us and recommend us to their friends and colleagues.What do you need to do?- Write clean and well-structured code that is easy to read and maintain.- Use version control to manage code changes and collaborate with other developers.- Follow security best practices when handling sensitive data or user information.- Use automated testing tools to ensure code quality and reduce the risk of bugs.- Document your code and write clear and concise comments.- Use modular design principles to make your code more flexible and reusable.- Stay up-to-date with the latest industry trends and technologies.- Use design patterns and best practices to make your application more maintainable and extensible.Technologies:Python 3.x, DRF, Django Channels, Redis, PostgreSQL, Elasticsearch, AWSWork experience:- 4+ years of commercial experience with Python 3;- 1+ years of experience with designing, implementing REST API (DRF, Fast API);- Experience working with relational and NoSQL databases(PostgreSQL, MongoDB);- Experience working on Linux, Docker;- Clear understanding of high-quality code, unit testing, software design and design patterns;- Exceptional problem-solving, technical and data analysis skills;- Experience with Scrum/Agile methodology, CI/CD.- Qualities: Star performer, Team player, Fast, Strong ownershipAdditional hard skills:- Some experience with Elasticsearch;- Experience with Kubernetes, Clouds(AWS/GCP)Questions and Answers:- Does the job come with a probation period, and if so, how long does it last?Yes, there is a three-month probation period.- What is the expected work schedule?Full-time, flexible, please start no later than 11:00 (on average 8 hours per day). The office in Kyiv is open from 9:00 to 20:00. You can work remotely and also you can choose hybrid mode where you can combine working on-site and remotely.- How many vacation and sick days are provided?Annual paid vacation  21 working days; Paid confirmed sick leave; 6 unconfirmed sick days/days off a year.What social package and benefits are offered?- English courses (up to 80 USD/month after successful completion of the probation period)- Compensation for the cost of a subscription sports center (up to 80 USD/month after successful completion of the probation period)- Medical insurance (50% after successful completion of the probation period) or $200 a year for health care- Corporate eventsHiring process:- HR-call with Recruiter (1 hour)- Technical interview with the Hiring manager (1 hour)- Trial day (paid)- Proposal for cooperation with DeveluxWe believe that people with different perspectives and lived experiences drive the company to create unique solutions."
Senior Python Developer$2000-3500,$2000-3500,3,42,4," , The Frontend Company,          . , WELCOME    web development !  Senior Python Developer      :- Good verbal and written communication skills in English (no less than upper-intermediate);- 3+ years of experience in software engineering;- Strong proficiency in Backend: Python, Graphql, AWS DynamoDB, AWS Lambda & ECS;- Strong AWS DynamoDB experience is MUST!- Basic in Frontend: ReactJS / Apollo Graphql Client.  :Location : United StatesSize : 11-50Description : a company is a modern end-to-end platform for appointment/class-based personal services businesses. One online solution to manage all your customers, staff, services, schedules, invoices, and subscriptions. They have a lot of users live.Specialties : Personal service businesses, CRM, Scheduling, Self-booking, invoicing, subscriptions, and Marketing.Team : they have 3 engineers working closely in a team, and his CEO who will be main contact person. comment from the client : ""I might need a bit of architectural experience. We need someone who will be a part of our project full-time. Ability to work efficiently within a team setting, as well as being self-motivated and able to work independently. Strong verbal and written communication skills, and a stable internet connection is required. Fully remote - but daily overlap with US 10 am PST - 2 pm PST timezone is required"" (!).     :1.  HR ;2.    ( );3.  ;4. -  .     ?-   100% remote   /   ;-   -   40-   (   ,   ,    );-    ,    -,     ..;- progress alls        rate review ;-  13 ;-   '   code review,             ';-          Udemi      ,      ;-    ,  '  ,      (      (     ),        ).  ,         ,     ;-  ,            (    soft skills,         ).       ,    ?      CV"
Python developer / strong junior$350-1200,$350-1200,1,215,26," :-   IT   Python -  1+ ;-   Django;-   Python3;-     Python;-   , '   .':-       ;-  API     ;-    ;-    . :-  AWS;-    noSQL.-  . :- ', 8   ;-  2+      ;-  , -      (     "" "")     :)-   ,            ;-       ,  ."
Python Lead,,5,20,1,"Job DescriptionOur client - a SaaS platform for managing expert networks that helps make better decisions is looking for a skillful Python Lead to join their team in Kyiv.About the companyThis platform provides a comprehensive primary research and expert networking service to institutional investors, consultants and corporate clients around the world. Its advantage is the speed and accuracy, it delivers actionable intelligence and relevant experts to the customers, giving them the edge they need to achieve their commercial ambitions. This is made possible by technology which is driven by artificial intelligence, separating this platform from other providers of market information.The company was founded in 2018 in London and currently has 4 offices around the world, including the new one in Lisbon.About the roleWe are seeking a highly skilled and experienced Software Engineer with a strong background in Python and expertise in designing, developing, implementing, and maintaining production services on AWS. The ideal candidate should have a minimum of 5 years of experience in software engineering and a solid understanding of advanced design concepts such as message queues, SQL vs NoSQL databases, and high-loaded service availability.In this role, you will have a critical impact on the business, working on various revenue generation streams and contributing to our technological USPs. You will be responsible for leading the technical advancement for key strategic business work stream including the market-leading survey platform, transcription services and GenAI projects, surveys and transcription services and will work closely with different stakeholders to ensure the delivery of high-quality tech designs. The ability to effectively manage and oversee multiple Python services within a large system is essential. You should also be comfortable being involved with the business side of operations and be excited about the interesting challenges this role presents.If you are a motivated and experienced Software Engineer who enjoys leading a team, driving technical innovation, and making a significant impact on a growing organisation, we would love to hear from you.Responsibilities:- Act as a technical lead in a product squad, actively participating and leading various agile ceremonies such as grooming and planning sessions as well as code reviews - Lead a team of software engineers and provide technical guidance and mentorship - Collaborate with stakeholders to understand business requirements and translate them into technical solutions - Design, develop, and maintain scalable and high-performance production services on AWS - Ensure the quality and reliability of the software through thorough testing and code reviews - Stay up to date with industry trends and best practices, and drive the adoption of new technologies and methodologies - Manage and prioritize multiple projects, balancing technical requirements and business impactQualificationsRequirements- 2+ years of experience in team leadership, managing and mentoring junior team members - Minimum 5 years professional software development experience, prominently utilising Python as the primary language, within a commercial setting - Experience working with Postgres  - Familiarity with advanced design concepts - Upper Intermediate/Advanced level of English or higherWhy is This a Great OpportunityBenefits- Generous uncapped commission scheme  - Hybrid working (a maximum of 3 days in the office)  - Up to 8 meal voucher per day  - Tenure Gifts - Vouchers, extra holiday and sabbaticals for each year of employment including a 4-week paid sabbatical after 3 years of employment - Enhanced Maternity & Paternity pay  - Enhanced sick pay (up to 10 days per year)  - Team outings- From quarterly gatherings to our annual winter & Summer parties, we love to celebrate, collaborate and have fun together!"
Middle Python Developer,,2,72,18,"REQUIRED SKILLS:- 2+ years experience with Python, Django or Flask;- Knowledge of SQL and NoSQL databases;- Knowledge of Docker;- Understanding of the HTTP protocol and RESTful APIs;- Command of Linux/UNIX environment (shell, scripting, tools);- Passionate about Testing (Unit and Integration Testing);- Upper Intermediate Russian or Ukrainian;- Upper Intermediate + English.A PLUS:- Knowledge of one of the modern frameworks such as Angular / ReactJS / Vue;- Knowledge of Kubernetes.YOUR BENEFITS:- Extensive experience and remote work possibilities;- Hands-on training support;- Paid vacation and sick days;- Insurance compensation;- Partial compensation of gym membership, English courses, books, materials for developing etc.;- Unique company that is focused on the solutions development for specific business niches;- Opportunity to get more experience with events, conferences, seminars, master classes and training at the companys expense;- Best management and team support: we are always happy to hear from colleagues about their business & technology ideas;- Opportunity to implement your ideas on our internal projects;- Regular salary revision.RESPONSIBILITIES:- Development of components and applications in Python / Django;- Maintenance of existing applications;- Tasks estimation;- Writing technical documentation and reports.Please note that the vacancy now has a requirement to do a test task, if not ready to perform, please do not respond."
Senior Python/Django Engineerfrom $3000,from $3000,3,61,13,"Apexive is a premier software studio that creates top-notch technology for startups.We have a remote-first culture, and this position can be based anywhere. We encourage you to work in the way that best suits you. The company is led by a software architect (the founder actually codes), so youll never feel like a cog in the machine. Everyone has the chance to make decisions that steer the company as a whole.While we are technology agnostic and believe in using the right tools for a given challenge, we are experts in cutting-edge frameworks and platforms, such as Flutter/Dart, Google Cloud Platform/AWS/Kubernetes, Python/Django, and Terraform, to name very a few. This is a full-time position.For this role, we are considering candidates who are remote-based. Apexive offers different work modes to meet the variety of needs and preferences of our team. Learn more about our engineering philosophies, tools, and some of the challenges weve been solving on our Engineering blog.What Youll Do:- Develop and maintain Backend solutions using Python/Django- Build docker images that can run on top of AWS or other PaaS- Model databases using MySQL, Postgres, DynamoDB- Understand the needs of our clients and come up with solutions for their problems- Taking an active part in our learning and knowledge-sharing cultureSkills Were looking for:- 3+ years of Python/Django experience- Experience with RESTful backend applications, specially built with Django- An inability to write anything but clean, maintainable code.- Strong aversion to hard code- Experience with deployment processes like AWS, Heroku- Being up-to-date with the latest news and technologies about the Backend- High English proficiency as our company language is English- Ability to work independently- Alignment with our values, including get things done attitudeWere looking for people who are passionate about building tech for startups and do not afraid of challenges!Nice to have:- UI/UX feeling- Docker, CircleCI- Terraform, Odoo- Basic knowledge of frontend- Contributions to open-source projectsPerks & Benefits Competitive compensation Equity options Work with the latest tech stack and top startups from various industries Offsite week in Thailand full of adventures  all expenses paid Flexible work hours and truly remote work culture Work From Anywhere Mentorship program  get a mentor and become one Conferences, meetups, language lessons, and seminars to support personal growthOur Hiring Process1. Apply and share a fragment of your recent code using Bloc/Cubit and any other modern libraries (such as reactive_forms, firebase, etc.) that you are proudest of. Please note that it should be the specific project/repository, not just your whole GH/GL profile. We would really appreciate it if you could take this step seriously, as we base our decision on moving forward with the candidate solely on what you send us, and we do not give a benefit of the doubt at this stage.Note: If this code is in the private repository, please share access rights with adar2378 (Frontend lead) or eugapx (Backend lead)2. Cultural fit interview (up to 30 minutes)3. Technical discussion (up to 1 hour)4. Technical take-home test assignment (up to 2-3 hours)5. Review of the take-home assignment (up to 1 hour)Welcome aboard!"
Middle Python Developer,,3,32,4,"Requirements: 3+ years of commercial experience with Python Solid experience with PySpark Experience with AWS and their data services Strong knowledge of data modeling, data warehousing, and ETL pipeline construction Experience in problem-solving and attention to detail Perfect communication skillsIs good to have:- Understanding of OOP concepts- Understanding of coding algorithms such as recursion, data transformation, and manipulation- Good English speaking- Experience in SSRThat's what you should do:- Work directly with the core development team- Implement new and maintain existing web features and solutions- Review existing code and recommend refactoring where applicable- Research and solve problems using internet search, vendor support, and other external resources- Perform all the necessary tasks efficiently meeting deadlines- Fill in the tracking systems of the client and the companyThat's what we offer to you:- Fast growth of seniority level with a unique plan- Ability to work remotely, flexible working hours- Education (courses, training materials, etc.)- 12 days of paid vacation and 12 days of sick leave- State holidays, according to the legislation of UkraineSo please don't waste your time, write to us, and let's create some cool things together! :)"
Python (Django) Engineer$3000-4500,$3000-4500,3,111,51,"The ideal candidate should possess a proactive mindset and a strong aptitude for addressing intricate challenges.Technical Qualifications:5+ years of experience in software development with Python and Django.Strong experience with DRF, REST, Git, PostgresqlOptional experience: React, Yocto Professional Skills:Demonstrated ability to write clean, maintainable, and efficient code.Strong problem-solving skills and the willingness to dive into challenging problems.We offer:1. 100% remote work opportunity and flexitime  choose working hours between 8:00-20:00.2. Everything to provide a good rest: paid vacation, national holidays, sick leaves.3.Regular feedback, mentorship, code review. Friendly and professional team that supports you. 4.No bureaucracy  transparent processes and flat management. Working remotely means keeping things as simple as possible to work efficiently."
Python developer$2500-3000,$2500-3000,3,115,55,"Python developer2500-3000 $ We are looking for a talented Python developer to join our growing remote team.You will have the opportunity to:Work on various e-commerce projects and see amazing e-stores growing from the ground up, thanks to you.Get the mentorship of our experienced developers and develop your professional and personal skills.Get to know our amazing team members hailing from four different countries. Join our incredibly collaborative work environment, where we ensure everyone feels heard and valued by embracing and welcoming a diversity of viewpoints.What are your strongest skills:Back-end:-Python (Django, Celery, SQLAlchemy), scrapping experience would be a plus-Node.js (Nest.js or Fastify would be a plus) + TypeScript-PostgreSQL/MySQL, Redis-Docker, AWS, CloudflareFront-end:-Vanilla JS (React + TypeScript would be a plus)CMS:-Shopify would be a plusExperience:3+ years of commercial experienceResponsibilities:-Development of scrappers and Shopify apps-Act as the architect, introducing and implementing best engineering practices-Review existing codebase and propose refactoring where neededPersonal requirements:-Effective communication + Proactivity(Demonstrate a proactive approach by openly discussing issues and questions. Actively seek assistance when needed and prioritize clear and timely communication within the team.)"
